table_name,constraint_name,constraint_type,definition
increment_method_configs,increment_method_configs_joining_month_cutoff_day_chk,CHECK,CHECK (((joining_month_cutoff_day IS NULL) OR ((joining_month_cutoff_day >= 1) AND (joining_month_cutoff_day <= 31))))
increment_method_configs,increment_method_configs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_method_slabs,increment_method_slabs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_run_items,increment_run_items_eligibility_status_check,CHECK,"CHECK ((eligibility_status = ANY (ARRAY['eligible'::text, 'ineligible'::text, 'excluded'::text, 'no_score'::text])))"
increment_run_items,increment_run_items_transition_source_check,CHECK,"CHECK (((transition_source IS NULL) OR (transition_source = ANY (ARRAY['history'::text, 'profile_snapshot'::text, 'none'::text]))))"
increment_run_items,increment_run_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_runs,increment_runs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['running'::text, 'completed'::text, 'failed'::text])))"
increment_runs,increment_runs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_slabs,increment_slabs_check,CHECK,CHECK ((rating_to >= rating_from))
increment_slabs,increment_slabs_increment_percent_check,CHECK,CHECK (((increment_percent >= (0)::numeric) AND (increment_percent <= (100)::numeric)))
increment_slabs,increment_slabs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['active'::text, 'archived'::text])))"
increment_slabs,increment_slabs_pkey,PRIMARY KEY,PRIMARY KEY (id)
increment_slabs_audit,increment_slabs_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
integration_connector_registry,integration_connector_registry_pkey,PRIMARY KEY,PRIMARY KEY (connector_key)
kpi_audit_logs,kpi_audit_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_definitions,kpi_definitions_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_definitions,kpi_definitions_canonical_kra_name_canonical_kpi_name_categ_key,UNIQUE,"UNIQUE (canonical_kra_name, canonical_kpi_name, category_id)"
kpi_dust_emission_rescale_2026_06,kpi_dust_emission_rescale_2026_06_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_mention_access,kpi_mention_access_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_mention_access,kpi_mention_access_unique,UNIQUE,"UNIQUE (kpi_id, user_id)"
kpi_name_aliases,kpi_name_aliases_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_name_aliases,kpi_name_aliases_variant_kra_name_variant_kpi_name_category_key,UNIQUE,"UNIQUE (variant_kra_name, variant_kpi_name, category_id)"
kpi_observation_replies,kpi_observation_replies_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_observations,kpi_observations_observer_role_check,CHECK,"CHECK ((observer_role = ANY (ARRAY['self'::text, 'manager'::text, 'auditor'::text, 'management'::text, 'admin'::text])))"
kpi_observations,kpi_observations_score_impact_check,CHECK,CHECK (((score_impact >= '-5'::integer) AND (score_impact <= 5)))
kpi_observations,kpi_observations_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_observations,kpi_observations_ticket_number_key,UNIQUE,UNIQUE (ticket_number)
kpi_queries,kpi_queries_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_queries,kpi_queries_ticket_number_key,UNIQUE,UNIQUE (ticket_number)
kpi_registry_audit_log,kpi_registry_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_rollback_requests,kpi_rollback_requests_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_scanner_skips,kpi_scanner_skips_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_scanner_skips,kpi_scanner_skips_unique,UNIQUE,"UNIQUE (category_id, normalized_kpi)"
kpi_standardization_actions,kpi_standardization_actions_action_type_check,CHECK,"CHECK ((action_type = ANY (ARRAY['create_definition'::text, 'link_alias'::text, 'rename_kpis'::text, 'delete_definition'::text, 'edit_definition'::text, 'unlink_alias'::text, 'skip_group'::text, 'unskip_group'::text, 'backfill_definition_links'::text])))"
kpi_standardization_actions,kpi_standardization_actions_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpi_templates,kpi_templates_pkey,PRIMARY KEY,PRIMARY KEY (id)
kpis,kpis_kpi_group_type_check,CHECK,"CHECK ((kpi_group_type = ANY (ARRAY['individual'::text, 'departmental'::text, 'org'::text])))"
kpis,kpis_org_level_scope_check,CHECK,"CHECK (((org_level_scope IS NULL) OR (org_level_scope = ANY (ARRAY['organization'::text, 'division'::text, 'business_unit'::text, 'department'::text, 'location'::text, 'pms_grade'::text, 'level'::text, 'employee'::text]))))"
kpis,kpis_scope_target_check,CHECK,"CHECK (((org_level_scope IS NULL) OR ((org_level_scope = ANY (ARRAY['organization'::text, 'department'::text, 'employee'::text])) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'division'::text) AND (division_id IS NOT NULL) AND (business_unit_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'business_unit'::text) AND (business_unit_id IS NOT NULL) AND (division_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'location'::text) AND (location_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'pms_grade'::text) AND (pms_grade_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (location_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'level'::text) AND (level_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL))))"
kpis,valid_day_count_type,CHECK,"CHECK (((day_count_type)::text = ANY ((ARRAY['working_days'::character varying, 'all_days'::character varying])::text[])))"
kpis,kpis_pkey,PRIMARY KEY,PRIMARY KEY (id)
kra_categories,kra_categories_pkey,PRIMARY KEY,PRIMARY KEY (id)
kra_rollover_logs,kra_rollover_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
levels,levels_pkey,PRIMARY KEY,PRIMARY KEY (id)
locations,locations_pkey,PRIMARY KEY,PRIMARY KEY (id)
menu_access_config,menu_access_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
menu_access_config,menu_access_config_menu_key_key,UNIQUE,UNIQUE (menu_key)
menu_access_user_overrides,menu_access_user_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
menu_access_user_overrides,menu_access_user_overrides_menu_key_user_id_key,UNIQUE,"UNIQUE (menu_key, user_id)"
menu_override_audit,menu_override_audit_field_check,CHECK,"CHECK ((field = ANY (ARRAY['label'::text, 'parent'::text, 'sort_order'::text, 'reset'::text, 'is_active'::text, 'menu_level'::text, 'module_key'::text, 'delete_custom_menu_item'::text])))"
menu_override_audit,menu_override_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
menu_overrides,menu_overrides_custom_menu_level_check,CHECK,CHECK (((custom_menu_level IS NULL) OR ((custom_menu_level >= 1) AND (custom_menu_level <= 4))))
menu_overrides,menu_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
menu_registry,menu_registry_menu_level_check,CHECK,CHECK (((menu_level >= 1) AND (menu_level <= 4)))
menu_registry,menu_registry_pkey,PRIMARY KEY,PRIMARY KEY (menu_key)
module_registry,module_registry_pkey,PRIMARY KEY,PRIMARY KEY (module_key)
modules,modules_pkey,PRIMARY KEY,PRIMARY KEY (id)
modules,modules_code_key,UNIQUE,UNIQUE (code)
notification_event_registry,notification_event_registry_pkey,PRIMARY KEY,PRIMARY KEY (event_key)
notifications,notifications_pkey,PRIMARY KEY,PRIMARY KEY (id)
okv_migration_history,okv_migration_history_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_head_config,org_head_config_hr_head_source_check,CHECK,"CHECK ((hr_head_source = ANY (ARRAY['auto'::text, 'manual'::text])))"
org_head_config,org_head_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_head_config,org_head_config_company_id_key,UNIQUE,UNIQUE (company_id)
org_kpi_data_entry_logs,org_kpi_data_entry_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_kpi_data_owners,org_kpi_data_owners_scope_check,CHECK,"CHECK (((org_level_scope = ANY (ARRAY['organization'::text, 'division'::text, 'business_unit'::text, 'department'::text, 'location'::text, 'pms_grade'::text, 'level'::text, 'employee'::text])) AND (((org_level_scope = ANY (ARRAY['organization'::text, 'employee'::text])) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (department_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'division'::text) AND (division_id IS NOT NULL) AND (business_unit_id IS NULL) AND (department_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'business_unit'::text) AND (business_unit_id IS NOT NULL) AND (division_id IS NULL) AND (department_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'department'::text) AND (department_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'location'::text) AND (location_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (department_id IS NULL) AND (pms_grade_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'pms_grade'::text) AND (pms_grade_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (department_id IS NULL) AND (location_id IS NULL) AND (level_id IS NULL)) OR ((org_level_scope = 'level'::text) AND (level_id IS NOT NULL) AND (division_id IS NULL) AND (business_unit_id IS NULL) AND (department_id IS NULL) AND (location_id IS NULL) AND (pms_grade_id IS NULL)))))"
org_kpi_data_owners,org_kpi_data_owners_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_kpi_data_owners,org_kpi_data_owners_category_id_kra_name_kpi_name_owner_id_key,UNIQUE,"UNIQUE (category_id, kra_name, kpi_name, owner_id)"
org_kpi_owner_key_backup,org_kpi_owner_key_backup_action_check,CHECK,"CHECK ((action = ANY (ARRAY['updated'::text, 'deleted_duplicate'::text])))"
org_kpi_owner_key_backup,org_kpi_owner_key_backup_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_kpi_value_history,org_kpi_value_history_pkey,PRIMARY KEY,PRIMARY KEY (id)
org_kpi_values,org_kpi_values_pkey,PRIMARY KEY,PRIMARY KEY (id)
password_rollout_logs,password_rollout_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
performance_improvement_plans,performance_improvement_plans_pkey,PRIMARY KEY,PRIMARY KEY (id)
performance_reviews,performance_reviews_pkey,PRIMARY KEY,PRIMARY KEY (id)
pip_audit_logs,pip_audit_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
pip_milestones,pip_milestones_pkey,PRIMARY KEY,PRIMARY KEY (id)
pms_evidence_compression_jobs,pms_evidence_compression_jobs_status_check,CHECK,"CHECK ((status = ANY (ARRAY['pending'::text, 'processing'::text, 'done'::text, 'skipped'::text, 'failed'::text])))"
pms_evidence_compression_jobs,pms_evidence_compression_jobs_pkey,PRIMARY KEY,PRIMARY KEY (id)
pms_evidence_compression_jobs,pms_evidence_compression_jobs_source_table_source_id_source_key,UNIQUE,"UNIQUE (source_table, source_id, source_column, array_index, original_url)"
pms_grades,pms_grades_family_bucket_check,CHECK,"CHECK ((family_bucket = ANY (ARRAY['M'::text, 'W'::text, 'T'::text, 'other'::text])))"
pms_grades,pms_grades_pkey,PRIMARY KEY,PRIMARY KEY (id)
pms_grades,pms_grades_name_key,UNIQUE,UNIQUE (name)
privacy_consent_settings,privacy_consent_settings_default_state_valid,CHECK,"CHECK ((default_state = ANY (ARRAY['opt_in'::text, 'opt_out'::text])))"
privacy_consent_settings,privacy_consent_settings_lawful_basis_valid,CHECK,"CHECK ((lawful_basis = ANY (ARRAY['consent'::text, 'contract'::text, 'legitimate_interest'::text, 'legal_obligation'::text, 'vital_interest'::text, 'public_task'::text])))"
privacy_consent_settings,privacy_consent_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
privacy_consent_settings,privacy_consent_settings_key_unique,UNIQUE,UNIQUE (consent_key)
production_daily_entries,production_daily_entries_pkey,PRIMARY KEY,PRIMARY KEY (id)
production_daily_entries,production_daily_entries_program_id_employee_id_month_year_key,UNIQUE,"UNIQUE (program_id, employee_id, month, year)"
production_targets,production_targets_pkey,PRIMARY KEY,PRIMARY KEY (id)
production_targets,production_targets_program_id_business_unit_id_sub_unit_lab_key,UNIQUE,"UNIQUE (program_id, business_unit_id, sub_unit_label, slab_category, month, year)"
profiles,profiles_email_no_synthetic_chk,CHECK,CHECK (((email IS NULL) OR (email !~~* '%@noemail.bfclpms.local'::text) OR (email !~~* '%@placeholder-pms.com'::text)))
profiles,profiles_team_queue_default_scope_chk,CHECK,"CHECK (((team_queue_default_scope IS NULL) OR (team_queue_default_scope = ANY (ARRAY['any'::text, 'manager'::text, 'skip'::text, 'dept'::text, 'bu'::text, 'hr'::text, 'management'::text]))))"
profiles,profiles_pkey,PRIMARY KEY,PRIMARY KEY (id)
profiles,profiles_employee_code_key,UNIQUE,UNIQUE (employee_code)
registry_suggestion_dismissals,registry_suggestion_dismissals_kind_check,CHECK,"CHECK ((kind = ANY (ARRAY['definition_merge'::text, 'alias_candidate'::text])))"
registry_suggestion_dismissals,registry_suggestion_dismissals_pkey,PRIMARY KEY,"PRIMARY KEY (kind, left_id, right_id)"
report_access_config,report_access_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
report_access_config,report_access_config_report_key_key,UNIQUE,UNIQUE (report_key)
report_access_user_overrides,report_access_user_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
report_access_user_overrides,report_access_user_overrides_report_key_user_id_key,UNIQUE,"UNIQUE (report_key, user_id)"
report_field_override_audit,report_field_override_audit_pkey,PRIMARY KEY,PRIMARY KEY (id)
report_field_overrides,report_field_overrides_pkey,PRIMARY KEY,PRIMARY KEY (id)
report_field_registry,report_field_registry_pkey,PRIMARY KEY,PRIMARY KEY (id)
report_field_registry,report_field_registry_report_id_field_key_key,UNIQUE,"UNIQUE (report_id, field_key)"
report_registry,report_registry_pkey,PRIMARY KEY,PRIMARY KEY (report_id)
report_registry,report_registry_report_key_key,UNIQUE,UNIQUE (report_key)
report_registry_v2,report_registry_v2_pkey,PRIMARY KEY,PRIMARY KEY (report_key)
retention_policies,retention_policies_archive_le_retention,CHECK,CHECK (((archive_after_days IS NULL) OR (retention_days IS NULL) OR (archive_after_days <= retention_days)))
retention_policies,retention_policies_archive_nonneg,CHECK,CHECK (((archive_after_days IS NULL) OR (archive_after_days >= 0)))
retention_policies,retention_policies_retention_nonneg,CHECK,CHECK (((retention_days IS NULL) OR (retention_days >= 0)))
retention_policies,retention_policies_strategy_valid,CHECK,"CHECK ((purge_strategy = ANY (ARRAY['soft_delete'::text, 'hard_delete'::text, 'anonymize'::text, 'archive_only'::text])))"
retention_policies,retention_policies_pkey,PRIMARY KEY,PRIMARY KEY (id)
retention_policies,retention_policies_domain_key_unique,UNIQUE,UNIQUE (domain_key)
review_action_notes,review_action_notes_category_check,CHECK,"CHECK ((category = ANY (ARRAY['kpi_change'::text, 'weightage_change'::text, 'target_change'::text, 'new_kpi'::text, 'remove_kpi'::text, 'role_realignment'::text, 'training_need'::text, 'reaudit'::text, 'other'::text])))"
review_action_notes,review_action_notes_priority_check,CHECK,"CHECK ((priority = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text])))"
review_action_notes,review_action_notes_status_check,CHECK,"CHECK ((status = ANY (ARRAY['pending'::text, 'in_progress'::text, 'completed'::text])))"
review_action_notes,review_action_notes_title_check,CHECK,CHECK (((char_length(title) >= 1) AND (char_length(title) <= 120)))
review_action_notes,review_action_notes_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_period_audit_log,review_period_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_period_auto_rules,review_period_auto_rules_rule_type_check,CHECK,"CHECK ((rule_type = ANY (ARRAY['deadline_passed'::text, 'review_submitted'::text, 'approval_complete'::text, 'calibration_complete'::text, 'scheduled_lock'::text, 'auto_advance_zero'::text])))"
review_period_auto_rules,review_period_auto_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_period_locks,review_period_locks_lock_type_check,CHECK,"CHECK ((lock_type = ANY (ARRAY['global'::text, 'role'::text, 'department'::text, 'employee'::text])))"
review_period_locks,review_period_locks_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_period_stages,review_period_stages_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_periods,review_periods_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_periods,review_periods_period_name_review_year_key,UNIQUE,"UNIQUE (period_name, review_year)"
review_submissions,review_submissions_pkey,PRIMARY KEY,PRIMARY KEY (id)
review_submissions,review_submissions_kpi_id_unique,UNIQUE,UNIQUE (kpi_id)
safety_asset_calibrations,safety_asset_calibrations_window_chk,CHECK,CHECK ((next_due_at > performed_at))
safety_asset_calibrations,safety_asset_calibrations_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_asset_evidence,safety_asset_evidence_kind_check,CHECK,"CHECK ((kind = ANY (ARRAY['photo'::text, 'manual'::text, 'certificate'::text, 'other'::text])))"
safety_asset_evidence,safety_asset_evidence_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_assets,safety_assets_interval_chk,CHECK,CHECK (((calibration_interval_days IS NULL) OR ((calibration_interval_days >= 1) AND (calibration_interval_days <= 3650))))
safety_assets,safety_assets_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_assets,safety_assets_asset_code_key,UNIQUE,UNIQUE (asset_code)
safety_audit_log,safety_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_audit_run_responses,safety_audit_run_responses_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_audit_run_responses,safety_audit_run_responses_run_id_item_id_key,UNIQUE,"UNIQUE (run_id, item_id)"
safety_audit_runs,safety_audit_runs_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_audit_template_items,safety_audit_template_items_weight_check,CHECK,CHECK (((weight > (0)::numeric) AND (weight <= (100)::numeric)))
safety_audit_template_items,safety_audit_template_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_audit_templates,safety_audit_templates_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_audit_templates,safety_audit_templates_code_key,UNIQUE,UNIQUE (code)
safety_drill_findings,safety_drill_findings_severity_check,CHECK,"CHECK ((severity = ANY (ARRAY['low'::text, 'medium'::text, 'high'::text, 'critical'::text])))"
safety_drill_findings,safety_drill_findings_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_drill_participants,safety_drill_participants_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_drill_participants,safety_drill_participants_drill_id_user_id_key,UNIQUE,"UNIQUE (drill_id, user_id)"
safety_drill_runs,safety_drill_runs_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_emergency_contacts,safety_emergency_contacts_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_emergency_drills,safety_emergency_drills_evacuation_seconds_check,CHECK,CHECK (((evacuation_seconds IS NULL) OR (evacuation_seconds >= 0)))
safety_emergency_drills,safety_emergency_drills_score_check,CHECK,CHECK (((score IS NULL) OR ((score >= (0)::numeric) AND (score <= (100)::numeric))))
safety_emergency_drills,safety_emergency_drills_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_emergency_drills,safety_emergency_drills_drill_code_key,UNIQUE,UNIQUE (drill_code)
safety_incident_evidence,safety_incident_evidence_compression_status_check,CHECK,"CHECK ((compression_status = ANY (ARRAY['pending'::text, 'processing'::text, 'done'::text, 'skipped'::text, 'failed'::text])))"
safety_incident_evidence,safety_incident_evidence_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_progress_logs,safety_incident_progress_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_routing_rules,safety_incident_routing_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_severities,safety_incident_severities_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_severities,safety_incident_severities_incident_type_id_code_key,UNIQUE,"UNIQUE (incident_type_id, code)"
safety_incident_sla_rules,safety_incident_sla_rules_amber_threshold_pct_check,CHECK,CHECK (((amber_threshold_pct >= 1) AND (amber_threshold_pct <= 99)))
safety_incident_sla_rules,safety_incident_sla_rules_target_hours_check,CHECK,CHECK ((target_hours > 0))
safety_incident_sla_rules,safety_incident_sla_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_timeline,safety_incident_timeline_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_types,safety_incident_types_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incident_types,safety_incident_types_code_key,UNIQUE,UNIQUE (code)
safety_incidents,chk_safety_incidents_no_self_duplicate,CHECK,CHECK (((duplicate_of_id IS NULL) OR (duplicate_of_id <> id)))
safety_incidents,safety_incidents_routing_status_check,CHECK,"CHECK ((routing_status = ANY (ARRAY['dept'::text, 'division'::text, 'unrouted'::text, 'legacy'::text])))"
safety_incidents,safety_incidents_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_incidents,safety_incidents_incident_number_key,UNIQUE,UNIQUE (incident_number)
safety_incidents,uq_safety_incident_client,UNIQUE,"UNIQUE (reporter_id, client_submission_id)"
safety_master_data,safety_master_data_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_master_data,safety_master_data_unique_code,UNIQUE,"UNIQUE (category, code)"
safety_module_access,safety_module_access_pkey,PRIMARY KEY,PRIMARY KEY (user_id)
safety_notifications,safety_notifications_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permission_keys,safety_permission_keys_category_check,CHECK,"CHECK ((category = ANY (ARRAY['nav'::text, 'action'::text, 'widget'::text])))"
safety_permission_keys,safety_permission_keys_pkey,PRIMARY KEY,PRIMARY KEY (key)
safety_permit_approvals,safety_permit_approvals_decision_check,CHECK,"CHECK ((decision = ANY (ARRAY['approved'::text, 'rejected'::text])))"
safety_permit_approvals,safety_permit_approvals_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permit_approvals,safety_permit_approvals_permit_id_level_key,UNIQUE,"UNIQUE (permit_id, level)"
safety_permit_evidence,safety_permit_evidence_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permit_hira,safety_permit_hira_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permit_loto_steps,safety_permit_loto_steps_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permit_loto_steps,safety_permit_loto_steps_permit_id_step_no_key,UNIQUE,"UNIQUE (permit_id, step_no)"
safety_permit_type_config,safety_permit_type_config_level_check,CHECK,CHECK (((level >= 1) AND (level <= 6)))
safety_permit_type_config,safety_permit_type_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permit_type_config,safety_permit_type_config_permit_type_level_key,UNIQUE,"UNIQUE (permit_type, level)"
safety_permits,safety_permits_check,CHECK,CHECK ((end_at > start_at))
safety_permits,safety_permits_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_permits,safety_permits_permit_number_key,UNIQUE,UNIQUE (permit_number)
safety_role_permissions,safety_role_permissions_pkey,PRIMARY KEY,"PRIMARY KEY (role, permission_key)"
safety_settings,safety_settings_pkey,PRIMARY KEY,PRIMARY KEY (key)
safety_severity_sla,safety_severity_sla_pkey,PRIMARY KEY,PRIMARY KEY (severity)
safety_sla_escalations,safety_sla_escalations_level_check,CHECK,"CHECK ((level = ANY (ARRAY['amber'::text, 'red'::text])))"
safety_sla_escalations,safety_sla_escalations_pkey,PRIMARY KEY,PRIMARY KEY (id)
safety_sla_escalations,safety_sla_escalations_incident_id_level_key,UNIQUE,"UNIQUE (incident_id, level)"
safety_user_permission_overrides,safety_user_permission_overrides_effect_check,CHECK,"CHECK ((effect = ANY (ARRAY['allow'::text, 'deny'::text])))"
safety_user_permission_overrides,safety_user_permission_overrides_pkey,PRIMARY KEY,"PRIMARY KEY (user_id, permission_key)"
safety_user_roles,safety_user_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
sensitive_fields,sensitive_fields_pkey,PRIMARY KEY,PRIMARY KEY (id)
sensitive_fields,sensitive_fields_unique_key,UNIQUE,"UNIQUE (module_key, table_name, column_name)"
skill_competencies,skill_competencies_pkey,PRIMARY KEY,PRIMARY KEY (id)
sub_branches,sub_branches_pkey,PRIMARY KEY,PRIMARY KEY (id)
sub_branches,sub_branches_code_key,UNIQUE,UNIQUE (code)
sub_period_submissions,sub_period_submissions_sub_period_type_check,CHECK,"CHECK ((sub_period_type = ANY (ARRAY['daily'::text, 'weekly'::text])))"
sub_period_submissions,sub_period_submissions_pkey,PRIMARY KEY,PRIMARY KEY (id)
sub_period_submissions,sub_period_submissions_kpi_id_sub_period_type_sub_period_va_key,UNIQUE,"UNIQUE (kpi_id, sub_period_type, sub_period_value, review_month, review_year)"
system_audit_logs,system_audit_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
system_settings,system_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
system_settings,system_settings_setting_key_key,UNIQUE,UNIQUE (setting_key)
template_bundle_items,template_bundle_items_pkey,PRIMARY KEY,PRIMARY KEY (id)
template_bundle_items,template_bundle_items_bundle_id_template_id_key,UNIQUE,"UNIQUE (bundle_id, template_id)"
template_bundles,template_bundles_pkey,PRIMARY KEY,PRIMARY KEY (id)
template_change_logs,template_change_logs_pkey,PRIMARY KEY,PRIMARY KEY (id)
training_needs,training_needs_pkey,PRIMARY KEY,PRIMARY KEY (id)
user_roles,user_roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
user_roles,user_roles_user_id_role_key,UNIQUE,"UNIQUE (user_id, role)"
vessel_monthly_entries,vessel_monthly_entries_pkey,PRIMARY KEY,PRIMARY KEY (id)
vessel_monthly_entries,vessel_monthly_entries_program_id_employee_id_month_year_key,UNIQUE,"UNIQUE (program_id, employee_id, month, year)"
workflow_config,workflow_config_config_type_check,CHECK,"CHECK ((config_type = ANY (ARRAY['employee'::text, 'department'::text, 'pms_grade'::text])))"
workflow_config,workflow_config_pkey,PRIMARY KEY,PRIMARY KEY (id)
workflow_config_migration_log,workflow_config_migration_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
workflow_final_score_rules,workflow_final_score_rules_missing_score_policy_check,CHECK,"CHECK ((missing_score_policy = ANY (ARRAY['block'::text, 'ignore'::text, 'zero'::text])))"
workflow_final_score_rules,workflow_final_score_rules_rule_type_check,CHECK,"CHECK ((rule_type = ANY (ARRAY['terminal_stage'::text, 'self_final'::text, 'manager_final'::text, 'functional_manager_final'::text, 'skip_level_final'::text, 'hr_pms_final'::text, 'auditor_final'::text, 'management_final'::text, 'hr_calibration_final'::text, 'mgmt_calibration_final'::text, 'avg_manager_skip'::text, 'avg_self_manager_skip'::text, 'avg_all_completed'::text, 'weighted_custom'::text])))"
workflow_final_score_rules,workflow_final_score_rules_scope_type_check,CHECK,"CHECK ((scope_type = ANY (ARRAY['template'::text, 'employee'::text, 'department'::text, 'pms_grade'::text])))"
workflow_final_score_rules,workflow_final_score_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
workflow_settings,workflow_settings_pkey,PRIMARY KEY,PRIMARY KEY (id)
workflow_settings,workflow_settings_setting_key_key,UNIQUE,UNIQUE (setting_key)
workflow_templates,workflow_templates_pkey,PRIMARY KEY,PRIMARY KEY (id)
