constraint_name,source_table,source_columns,target_table,target_columns,on_delete,on_update
safety_audit_run_responses_run_id_fkey,safety_audit_run_responses,run_id,safety_audit_runs,id,CASCADE,NO ACTION
safety_audit_runs_template_id_fkey,safety_audit_runs,template_id,safety_audit_templates,id,RESTRICT,NO ACTION
safety_audit_template_items_template_id_fkey,safety_audit_template_items,template_id,safety_audit_templates,id,CASCADE,NO ACTION
safety_drill_findings_drill_id_fkey,safety_drill_findings,drill_id,safety_emergency_drills,id,CASCADE,NO ACTION
safety_drill_participants_drill_id_fkey,safety_drill_participants,drill_id,safety_emergency_drills,id,CASCADE,NO ACTION
safety_incident_evidence_incident_id_fkey,safety_incident_evidence,incident_id,safety_incidents,id,CASCADE,NO ACTION
safety_incident_evidence_uploaded_by_fkey,safety_incident_evidence,uploaded_by,profiles,id,RESTRICT,NO ACTION
safety_incident_progress_logs_incident_id_fkey,safety_incident_progress_logs,incident_id,safety_incidents,id,CASCADE,NO ACTION
safety_incident_progress_logs_logged_by_fkey,safety_incident_progress_logs,logged_by,profiles,id,RESTRICT,NO ACTION
safety_incident_routing_rules_bu_head_id_fkey,safety_incident_routing_rules,bu_head_id,profiles,id,NO ACTION,NO ACTION
safety_incident_routing_rules_business_unit_id_fkey,safety_incident_routing_rules,business_unit_id,business_units,id,CASCADE,NO ACTION
safety_incident_routing_rules_created_by_fkey,safety_incident_routing_rules,created_by,profiles,id,NO ACTION,NO ACTION
safety_incident_routing_rules_department_id_fkey,safety_incident_routing_rules,department_id,departments,id,CASCADE,NO ACTION
safety_incident_routing_rules_manager_id_fkey,safety_incident_routing_rules,manager_id,profiles,id,NO ACTION,NO ACTION
safety_incident_routing_rules_second_manager_id_fkey,safety_incident_routing_rules,second_manager_id,profiles,id,NO ACTION,NO ACTION
safety_incident_routing_rules_updated_by_fkey,safety_incident_routing_rules,updated_by,profiles,id,NO ACTION,NO ACTION
safety_incident_severities_created_by_fkey,safety_incident_severities,created_by,profiles,id,NO ACTION,NO ACTION
safety_incident_severities_incident_type_id_fkey,safety_incident_severities,incident_type_id,safety_incident_types,id,CASCADE,NO ACTION
safety_incident_severities_updated_by_fkey,safety_incident_severities,updated_by,profiles,id,NO ACTION,NO ACTION
safety_incident_sla_rules_created_by_fkey,safety_incident_sla_rules,created_by,profiles,id,NO ACTION,NO ACTION
safety_incident_sla_rules_incident_type_id_fkey,safety_incident_sla_rules,incident_type_id,safety_incident_types,id,CASCADE,NO ACTION
safety_incident_sla_rules_severity_id_fkey,safety_incident_sla_rules,severity_id,safety_incident_severities,id,CASCADE,NO ACTION
safety_incident_sla_rules_updated_by_fkey,safety_incident_sla_rules,updated_by,profiles,id,NO ACTION,NO ACTION
safety_incident_timeline_changed_by_fkey,safety_incident_timeline,changed_by,profiles,id,SET NULL,NO ACTION
safety_incident_timeline_incident_id_fkey,safety_incident_timeline,incident_id,safety_incidents,id,CASCADE,NO ACTION
safety_incident_types_created_by_fkey,safety_incident_types,created_by,profiles,id,NO ACTION,NO ACTION
safety_incident_types_updated_by_fkey,safety_incident_types,updated_by,profiles,id,NO ACTION,NO ACTION
safety_incidents_actual_reporter_id_fkey,safety_incidents,actual_reporter_id,profiles,id,NO ACTION,NO ACTION
safety_incidents_assigned_to_fkey,safety_incidents,assigned_to,profiles,id,SET NULL,NO ACTION
safety_incidents_business_unit_id_fkey,safety_incidents,business_unit_id,business_units,id,SET NULL,NO ACTION
safety_incidents_closed_by_fkey,safety_incidents,closed_by,profiles,id,SET NULL,NO ACTION
safety_incidents_department_id_fkey,safety_incidents,department_id,departments,id,SET NULL,NO ACTION
safety_incidents_duplicate_of_id_fkey,safety_incidents,duplicate_of_id,safety_incidents,id,SET NULL,NO ACTION
safety_incidents_incident_type_id_fkey,safety_incidents,incident_type_id,safety_incident_types,id,SET NULL,NO ACTION
safety_incidents_involved_person_id_fkey,safety_incidents,involved_person_id,profiles,id,SET NULL,NO ACTION
safety_incidents_marked_duplicate_by_fkey,safety_incidents,marked_duplicate_by,profiles,id,SET NULL,NO ACTION
safety_incidents_reporter_id_fkey,safety_incidents,reporter_id,profiles,id,RESTRICT,NO ACTION
safety_incidents_routed_bu_head_id_fkey,safety_incidents,routed_bu_head_id,profiles,id,NO ACTION,NO ACTION
safety_incidents_routed_manager_id_fkey,safety_incidents,routed_manager_id,profiles,id,NO ACTION,NO ACTION
safety_incidents_routed_second_manager_id_fkey,safety_incidents,routed_second_manager_id,profiles,id,NO ACTION,NO ACTION
safety_incidents_safety_head_id_fkey,safety_incidents,safety_head_id,profiles,id,NO ACTION,NO ACTION
safety_incidents_severity_id_fkey,safety_incidents,severity_id,safety_incident_severities,id,SET NULL,NO ACTION
safety_incidents_verifier_id_fkey,safety_incidents,verifier_id,profiles,id,NO ACTION,NO ACTION
safety_master_data_parent_id_fkey,safety_master_data,parent_id,safety_master_data,id,SET NULL,NO ACTION
safety_module_access_granted_by_fkey,safety_module_access,granted_by,users,id,SET NULL,NO ACTION
safety_module_access_user_id_fkey,safety_module_access,user_id,users,id,CASCADE,NO ACTION
safety_notifications_incident_id_fkey,safety_notifications,incident_id,safety_incidents,id,CASCADE,NO ACTION
safety_permit_approvals_permit_id_fkey,safety_permit_approvals,permit_id,safety_permits,id,CASCADE,NO ACTION
safety_permit_evidence_permit_id_fkey,safety_permit_evidence,permit_id,safety_permits,id,CASCADE,NO ACTION
safety_permit_hira_permit_id_fkey,safety_permit_hira,permit_id,safety_permits,id,CASCADE,NO ACTION
safety_permit_loto_steps_permit_id_fkey,safety_permit_loto_steps,permit_id,safety_permits,id,CASCADE,NO ACTION
safety_role_permissions_permission_key_fkey,safety_role_permissions,permission_key,safety_permission_keys,key,CASCADE,NO ACTION
safety_role_permissions_updated_by_fkey,safety_role_permissions,updated_by,users,id,NO ACTION,NO ACTION
safety_settings_updated_by_fkey,safety_settings,updated_by,users,id,SET NULL,NO ACTION
safety_sla_escalations_incident_id_fkey,safety_sla_escalations,incident_id,safety_incidents,id,CASCADE,NO ACTION
safety_user_permission_overrides_created_by_fkey,safety_user_permission_overrides,created_by,users,id,NO ACTION,NO ACTION
safety_user_permission_overrides_permission_key_fkey,safety_user_permission_overrides,permission_key,safety_permission_keys,key,CASCADE,NO ACTION
safety_user_permission_overrides_user_id_fkey,safety_user_permission_overrides,user_id,users,id,CASCADE,NO ACTION
safety_user_roles_user_id_fkey,safety_user_roles,user_id,users,id,CASCADE,NO ACTION
sensitive_fields_classification_key_fkey,sensitive_fields,classification_key,data_classifications,classification_key,NO ACTION,NO ACTION
sub_branches_department_id_fkey,sub_branches,department_id,departments,id,CASCADE,NO ACTION
sub_period_submissions_kpi_id_fkey,sub_period_submissions,kpi_id,kpis,id,CASCADE,NO ACTION
sub_period_submissions_submitted_by_fkey,sub_period_submissions,submitted_by,profiles,id,NO ACTION,NO ACTION
system_audit_logs_performed_by_fkey,system_audit_logs,performed_by,users,id,SET NULL,NO ACTION
template_bundle_items_bundle_id_fkey,template_bundle_items,bundle_id,template_bundles,id,CASCADE,NO ACTION
template_bundle_items_template_id_fkey,template_bundle_items,template_id,kpi_templates,id,CASCADE,NO ACTION
template_bundles_created_by_fkey,template_bundles,created_by,users,id,SET NULL,NO ACTION
template_bundles_department_id_fkey,template_bundles,department_id,departments,id,SET NULL,NO ACTION
template_change_logs_template_id_fkey,template_change_logs,template_id,kpi_templates,id,NO ACTION,NO ACTION
training_needs_category_id_fkey,training_needs,category_id,kra_categories,id,SET NULL,NO ACTION
training_needs_employee_id_fkey,training_needs,employee_id,profiles,id,CASCADE,NO ACTION
training_needs_identified_by_fkey,training_needs,identified_by,profiles,id,SET NULL,NO ACTION
training_needs_kpi_id_fkey,training_needs,kpi_id,kpis,id,SET NULL,NO ACTION
user_roles_user_id_fkey,user_roles,user_id,users,id,CASCADE,NO ACTION
user_roles_user_id_profiles_fkey,user_roles,user_id,profiles,id,NO ACTION,NO ACTION
vessel_monthly_entries_program_id_fkey,vessel_monthly_entries,program_id,incentive_programs,id,CASCADE,NO ACTION
workflow_config_created_by_fkey,workflow_config,created_by,profiles,id,NO ACTION,NO ACTION
workflow_config_workflow_template_id_fkey,workflow_config,workflow_template_id,workflow_templates,id,CASCADE,NO ACTION
workflow_config_migration_log_created_period_config_id_fkey,workflow_config_migration_log,created_period_config_id,workflow_config,id,SET NULL,NO ACTION
workflow_config_migration_log_performed_by_fkey,workflow_config_migration_log,performed_by,profiles,id,NO ACTION,NO ACTION
workflow_config_migration_log_source_config_id_fkey,workflow_config_migration_log,source_config_id,workflow_config,id,SET NULL,NO ACTION
workflow_final_score_rules_workflow_template_id_fkey,workflow_final_score_rules,workflow_template_id,workflow_templates,id,CASCADE,NO ACTION
